file,text,trigger,mention text (just a few words around the trigger),paragraph,sentiment,aspect,opinion words,notes,,,,
11838539_04.txt,Also use of chemicals and machinery on their paddy field is often considered undesirable .,considered,field is often considered undesirable.,"ethnic in the area, rice and their land are closely related to their life and religion. In general, rice is regarded as holy good and symbol of social status and/or wealth, so rice is seldom marketed. Also use of chemicals and machinery on their paddy field is often considered undesirable. According to the interview survey at the Oussouye department, a farmer still keeps the rice harvested in 1984, preparing for the urgent needs.","NEGATIVE, NEGATIVE","chemicals, machinery","undesirable, undesirable",,,,,
,Sources believe that twenty-five to 30 percent of rice produced in the SRV is distributed to other cities and regions in Senegal .,believe,Sources believe that twenty-five to 30 percent of rice produced in the,"Approximately 60 and 40 percent of rice is grown in northern (also called the Senegal River Valley (SRV)) and southern Senegal. The Casamance (Kolda, Ziguinchor, Sedhiou) produces approximately 90 percent of total rice production in southern Senegal, while seven and three percent are produced in the Senegal Oriental (Kedougou and Tambacounda) and Sine Saloum (Kaolack, Kaffrine, Fatick) regions. However, rice that is produced in the Casamance is primarily grown for subsistence purposes; very little rice is distributed to other regions or major cities outside the Casamance, or exported to neighboring countries. Likewise, rice produced in the SRV is not sold in the Casamance because of high transportation costs. Sources believe that twenty-five to 30 percent of rice produced in the SRV is distributed to other cities and regions in Senegal.",UNDETERMINED,rice production,,,,,,
seck2019.txt,"Although these government-led initiatives are designed to cover the whole country , there are many reasons to believe that the specific nature of the agro-ecological region of the SRV makes it a large beneficiary .",believe,many reasons to believe that the specific nature of the agro-ecological region of the,"Although these government-led initiatives are designed to cover the whole country, there are many reasons to believe that the specific nature of the agro-ecological region of the SRV makes it a large beneficiary. For instance, there is no public equivalent of the afore-mentioned government-run agency set up in the region that is tasked with providing technical assistance to farmers and serves as a public investment arm in various infrastructures (dams, storage facilities, etc.). This public involvement, coupled with the unique irrigation potentials and arable land endowments of the region, is also synonymous with relatively great returns to private investment as well as the financial sector, as opposed to the rest of the country. The extent to which this attractive profile of the region is actually translated into greater financial inclusion has yet to be fully investigated.",UNDETERMINED,government-led initiatives,,,,,,
Epic scale – rice production in the Senegal River delta copy.txt,"If this was not the case , believe me I would be telling you .",believe,"the case, believe me I would be telling you.","Djibi Seye is a farmer and straight-talking village elder from nearby Diadiam 3. He observes the beneTt Trst hand. “When we started agricultural activities some years ago, we had up to 30 hectares, and irregular access to water. Now we have opened up 70 hectares for this coming harvest season, and our relationship with CASL means it can be dealt with eZciently and locally. This was not the case before so it is mutually beneTcial.” Djibi Seye, farmer and straight-talking village elder from nearby Diadiam 3 There can be uneasiness between smallholder farmers and larger agricultural companies, but it is not evident in this case. “My village had the choice of whether or not to work with CASL,” Seye explains. “They presented themselves properly to us. We can see the beneTts for ourselves, and for them. It is entirely voluntary for Diadiam 3 to work with CASL. In other projects of this kind, it is not always the case, but this company brings jobs, hope and reassurance to local people. If this was not the case, believe me I would be telling you.” If the area was depressed before, there was good reason for it. Diadiam 3 has a legacy and Tnds a sense of purpose in food. “This used to be a Tshing village,” Seye continues. “Stocks have been badly affected by invasive plant species.” The Senegal River, like others across West Africa and the wider world, has been a notable victim of the proliTc and fast-growing weeds, water hyacinth and water fern, and indigenous plant and animal life has suffered from their presence.",bad example,,,,,,,
,"In other projects of this kind, it is not always the case, but this company brings jobs, hope and reassurance to local people .",,,"Djibi Seye is a farmer and straight-talking village elder from nearby Diadiam 3. He observes the beneTt Trst hand. “When we started agricultural activities some years ago, we had up to 30 hectares, and irregular access to water. Now we have opened up 70 hectares for this coming harvest season, and our relationship with CASL means it can be dealt with eZciently and locally. This was not the case before so it is mutually beneTcial.” Djibi Seye, farmer and straight-talking village elder from nearby Diadiam 3 There can be uneasiness between smallholder farmers and larger agricultural companies, but it is not evident in this case. “My village had the choice of whether or not to work with CASL,” Seye explains. “They presented themselves properly to us. We can see the beneTts for ourselves, and for them. It is entirely voluntary for Diadiam 3 to work with CASL. In other projects of this kind, it is not always the case, but this company brings jobs, hope and reassurance to local people. If this was not the case, believe me I would be telling you.” If the area was depressed before, there was good reason for it. Diadiam 3 has a legacy and Tnds a sense of purpose in food. “This used to be a Tshing village,” Seye continues. “Stocks have been badly affected by invasive plant species.” The Senegal River, like others across West Africa and the wider world, has been a notable victim of the proliTc and fast-growing weeds, water hyacinth and water fern, and indigenous plant and animal life has suffered from their presence.",POSITIVE,this company,"brings jobs, hope and reassurance","NOTE: Need to be careful here since we're using "", "" to separate opinions for differnet aspects but here there's a single opinion with a "", "" in it",,,,
1-s2.0-S2212096314000035-main.txt,Peanut and maize are generally sown after a few big rains when farmers believe that the rainy season has really started .,believe,rains when farmers believe that the rainy season has really started.,"Farmers distinguish two soil types, known as joor and deg. The former is an Entisol, a tropical soil with high iron content and low organic matter. The second is an Alfisol, which is more weathered and has higher clay, silt, and organic matter content. Local farming systems include a mix of compound and bush fields cultivated by rural households. Compound fields surround homesteads, are cultivated permanently, receive various amounts of amendments from rubbish heaps or livestock pens, and are typically planted with cereals, vegetables, and fruit trees. Bush fields are located at some distance from homesteads (ranging from 0.5 km to a few kilometers), and may be differentiated into upland or lowland fields, suitable to a variety of crops, such as millet, maize, groundnut or maize. They receive less input than the compound fields. In both communities, the main crops are millet (Pennisetum glaucum) and peanut (Arachis hypogaea). Farmers in Bacfassagal also produce sorghum (Sorghum bicolor) and cowpea (Vigna unguiculata), which are often intercropped with millet or peanut. In Paoskoto, wetter conditions allow farmers to produce maize, especially early-maturing varieties (the most popular one is an 80-day variety known as Early Thai). Rainfed rice (Oryza sativa) is also cultivated in valley bottoms and some farmers grow water melon and pumpkin in compound plots. In both communities, farmers usually plant millet prior to the rain, applying varying amounts of organic manure and, sometimes, chemical fertilizers. Peanut and maize are generally sown after a few big rains when farmers believe that the rainy season has really started. In Paoskoto, farmers tend to use fertilizers and pesticides on peanut and maize, though they mentioned the high price of chemical inputs as a constraint.",bad example,,,,,,,
valueChain3_2016_USAID.txt,"According to interviews , SAED personnel believe that up to an additional 60,000 ha could be rehabilitated .",believe,", SAED personnel believe that up to an additional 60,000 ha could be rehabilitated","Given the challenges present with rainfed rice, this study was confined to the scaling up potential in the SRV. Demand for rice is clearly not an issue, given that there is huge potential for import substitution in the rice market in Senegal and the GOS is committed to controlling imports and prices, as necessary, to ensure the profitability of domestic production. Therefore the question is what is the potential on the supply side? Supply is largely constrained by how much irrigated land there is (i.e., irrigation infrastructure). Currently around 60,000 ha have access to irrigation for growing rice. It is difficult to get a precise estimate of how much additional land already has irrigation infrastructure in place that needs to be rehabilitated, and how much new land could be utilized. According to interviews, SAED personnel believe that up to an additional 60,000 ha could be rehabilitated. According to an interview with the head of the PNAR and other sources,40 the total potential in the SRV is 240,000 ha.",bad example,,,,,,,
1-s2.0-0306919288900486-main.txt,Many African policy makers evidently believe that the assembly processing and distribution of staple food grains is too important to be entrusted to the private sector .,believe,policy makers evidently believe that the assembly.,"Many African policy makers evidently believe that the assembly processing and distribution of staple food grains is too important to be entrusted to the private sector. Governments throughout sub-Saharan Africa have shown a tendency to intervene in cereals markets. often extensively. Common forms of intervention have included legal requirements that marketed surplus be sold to an authorized state grain marketing organization, fixing of cereals prices from farm gate to final consumer, government monopolization of grain imports and exports. and strict regulation of the private grain trade. Rice markets have been a particular target for government intervention (see Table I).",POSITIVE,assembly processing and distribution of staple food grains,important,,,,,
2018_Grain and Feed Annual_Dakar_Senegal_4-19-2018.txt,"Contacts believe that some rural markets consume less broken rice than urban consumers , but demand for broken rice is strong throughout Senegal .",believe,Contacts believe that some rural markets consume less broken rice than urban,"MY 2018/19 and MY 2017/18 rice consumption is estimated at 1.95 and 1.8 million MT based on population growth and expectations of post-harvest loss. Contacts believe that some rural markets consume less broken rice than urban consumers, but demand for broken rice is strong throughout Senegal. Upper-income consumers located in large urban cities such as Dakar, Kaolack, Thies, and Ziguinchor purchase aromatic rice.","NEGATIVE, POSITIVE","broken rice, broken rice","consume less, demand for broken rice is strong",NOTE: Opposing polarities for same aspect,,,,
ASM_S_42_41.txt,They continue to spend equivalent amounts on other input goods because they believe that reducing input goods will decrease the harvest yield .,believe,goods because they believe that reducing input goods will decrease the harvest yield.,"Of all farming expenses, input goods such as seeds, fertilizer, and agrichemicals are always most costly (Table 2); in Village T these accounted for 29.8% (149,666 F CFA) of the rice farming expenses and 35.6% (107,793 F CFA) of the tomato farming expenses. To reduce total input cost, peasants have no alternative but to cut the cost of fertilizers and agrichemicals because it is extremely diffi cult to cut other input costs. They continue to spend equivalent amounts on other input goods because they believe that reducing input goods will decrease the harvest yield.",NEGATIVE,reducing input goods,decrease the harvest yield,,,,,
